prototype,source,similarity
newsletter,Seed,1.0
subscribe,Seed,1.0
unsubscribe,Seed,1.0
promotion,Seed,1.0
special offer,Seed,1.0
limited time,Seed,1.0
free trial,Seed,1.0
advertisement,Seed,1.0
marketing,Seed,1.0
webinar,Seed,1.0
event invitation,Seed,1.0
message unsubscribe ashford,Generated,0.7400000095367432
unsubscribe ashford,Generated,0.7400000095367432
unsubscribe ashford com,Generated,0.7400000095367432
unsubscribe send,Generated,0.7400000095367432
word remove subject,Generated,0.7400000095367432
unsubscribe gasindex,Generated,0.7200000286102295
gasindex,Generated,0.7200000286102295
wish unsubscribe click,Generated,0.8100000023841858
unsubscribe click,Generated,0.8100000023841858
wish unsubscribe,Generated,0.8100000023841858
click,Generated,0.8100000023841858
click unsubscribe image,Generated,0.7400000095367432
unsubscribe image,Generated,0.7400000095367432
click unsubscribe,Generated,0.7400000095367432
directly email unsubscribe,Generated,0.699999988079071
email unsubscribe,Generated,0.699999988079071
unsubscribe subject,Generated,0.699999988079071
free online newsletter,Generated,0.699999988079071
unsubscribe enter email,Generated,0.7799999713897705
click learn unsubscribe,Generated,0.7799999713897705
unsubscribe enter,Generated,0.7799999713897705
click remove reply,Generated,0.7799999713897705
unsubscribe future emails,Generated,0.7099999785423279
unsubscribe future,Generated,0.7099999785423279
like unsubscribe future,Generated,0.7099999785423279
remove responsetrack,Generated,0.7099999785423279
line version newsletter,Generated,0.7099999785423279
version newsletter,Generated,0.7099999785423279
newsletter access internet,Generated,0.7099999785423279
newsletter access,Generated,0.7099999785423279
unsubscribe copy,Generated,0.8100000023841858
unsubscribe copy paste,Generated,0.8100000023841858
wish unsubscribe copy,Generated,0.8100000023841858
unsubscribe mailing list,Generated,0.7900000214576721
unsubscribe mailing,Generated,0.7900000214576721
mailing list,Generated,0.7900000214576721
mailing list click,Generated,0.7900000214576721
unsubscribed requested,Generated,0.7699999809265137
unsubscribed,Generated,0.7699999809265137
requested,Generated,0.7699999809265137
did request unsubscribed,Generated,0.7400000095367432
request unsubscribed,Generated,0.7400000095367432
unsubscribed send message,Generated,0.7400000095367432
rsupport adm chtah,Generated,0.7400000095367432
unsubscribe special offers,Generated,0.7099999785423279
unsubscribe special,Generated,0.7099999785423279
offers sent registered,Generated,0.7099999785423279
ofoto members requested,Generated,0.7099999785423279
unsubscribe image win,Generated,0.7200000286102295
win 10 000,Generated,0.7200000286102295
mailings click unsubscribe,Generated,0.75
receive future mailings,Generated,0.75
future mailings click,Generated,0.75
customoffers com unsubscribe,Generated,0.7699999809265137
unsubscribe click link,Generated,0.7699999809265137
com unsubscribe asp,Generated,0.7699999809265137
definately support promotion,Generated,0.7300000190734863
support promotion,Generated,0.7300000190734863
definately support,Generated,0.7300000190734863
support,Generated,0.7300000190734863
unsubscribe email categories,Generated,0.7300000190734863
unsubscribe email,Generated,0.7300000190734863
email categories,Generated,0.7300000190734863
email categories click,Generated,0.7300000190734863
free unsubscribe anytime,Generated,0.75
completely free unsubscribe,Generated,0.75
free unsubscribe,Generated,0.75
unsubscribe anytime,Generated,0.75
unsubscribe send message,Generated,0.800000011920929
message word remove,Generated,0.800000011920929
mail unsubscribe,Generated,0.7300000190734863
blank mail unsubscribe,Generated,0.7300000190734863
send blank mail,Generated,0.7300000190734863
blank mail,Generated,0.7300000190734863
click remove,Generated,0.7699999809265137
email address click,Generated,0.7699999809265137
link copy pa,Generated,0.7599999904632568
subscribed unsubscribe visit,Generated,0.7200000286102295
unsubscribe visit,Generated,0.7200000286102295
currently subscribed unsubscribe,Generated,0.7200000286102295
email currently,Generated,0.7200000286102295
unsubscribe process completed,Generated,0.7300000190734863
unsubscribe process,Generated,0.7300000190734863
subscribed ensure unsubscribe,Generated,0.7300000190734863
successfully allow weeks,Generated,0.7300000190734863
unsubscribe instructions end,Generated,0.699999988079071
unsubscribe instructions,Generated,0.699999988079071
easy unsubscribe,Generated,0.699999988079071
receive messages,Generated,0.699999988079071
receive newsletter,Generated,0.7200000286102295
ways receive newsletter,Generated,0.7200000286102295
ways receive,Generated,0.7200000286102295
receive,Generated,0.7200000286102295
unsubscr,Generated,0.8299999833106995
receive free newsletters,Generated,0.699999988079071
free newsletters,Generated,0.699999988079071
newsletters,Generated,0.699999988079071
want receive free,Generated,0.699999988079071
free,Generated,0.699999988079071
unsubscribe 022154,Generated,0.75
022154,Generated,0.75
unsubscribe 20,Generated,0.699999988079071
unsubscribe 20 com,Generated,0.699999988079071
20 unsubscribe 20,Generated,0.699999988079071
20 unsubscribe,Generated,0.699999988079071
20 20 unsubscribe,Generated,0.699999988079071
resubscribe,Generated,0.7599999904632568
resubscribe visit registration,Generated,0.7599999904632568
option unsubscribe receiving,Generated,0.7300000190734863
unsubscribe receiving,Generated,0.7300000190734863
option unsubscribe,Generated,0.7300000190734863
receiving,Generated,0.7300000190734863
unsubscribe click following,Generated,0.800000011920929
following link unsubscribe,Generated,0.699999988079071
link unsubscribe click,Generated,0.699999988079071
link unsubscribe,Generated,0.699999988079071
click unsubscribe button,Generated,0.7099999785423279
marketing messages click,Generated,0.7099999785423279
future marketing messages,Generated,0.7099999785423279
unsubscribe don word,Generated,0.75
unsubscribe don,Generated,0.75
don word,Generated,0.75
word,Generated,0.75
unsubscribe list,Generated,0.7300000190734863
subscription information remove,Generated,0.7300000190734863
box unsubscribe list,Generated,0.7300000190734863
remove list uncheck,Generated,0.7300000190734863
unsubscribe information newsletter,Generated,0.7200000286102295
subscribe unsubscribe,Generated,0.7200000286102295
