ngram,count
image image image,0.184
sent thursday october,0.07
hou cc subject,0.068
sent tuesday january,0.066
ward kim houston,0.063
sent tuesday january 29 2002,0.062
tuesday january 29,0.062
tuesday january 29 2002,0.062
january 29 2002,0.062
sent tuesday january 29,0.062
enron north america,0.062
gas roll plan,0.061
west gas roll plan,0.061
west gas roll,0.061
october 18 2001,0.058
messages parsing file,0.057
log messages parsing,0.057
log messages parsing file,0.057
westdesk california scheduling,0.056
westdesk california scheduling iso,0.056
westdesk california scheduling iso final schedules,0.056
westdesk california scheduling iso final,0.056
file portland westdesk california,0.056
messages parsing file portland,0.056
thursday october 18 2001,0.056
thursday october 18,0.056
file portland westdesk,0.056
file portland westdesk california scheduling,0.056
scheduling iso final,0.056
portland westdesk california scheduling iso final,0.056
sent thursday october 18,0.056
sent thursday october 18 2001,0.056
messages parsing file portland westdesk,0.056
messages parsing file portland westdesk california,0.056
log messages parsing file portland westdesk,0.056
file portland westdesk california scheduling iso,0.056
log messages parsing file portland,0.056
iso final schedules,0.056
portland westdesk california scheduling,0.056
scheduling iso final schedules,0.056
parsing file portland,0.056
parsing file portland westdesk california scheduling,0.056
parsing file portland westdesk,0.056
parsing file portland westdesk california,0.056
california scheduling iso final,0.056
california scheduling iso,0.056
portland westdesk california,0.056
portland westdesk california scheduling iso,0.056
california scheduling iso final schedules,0.056
tana jones hou,0.053
ancillary schedules awarded variances,0.05
ancillary schedules awarded,0.05
schedules awarded variances,0.05
awarded variances detected,0.05
schedules awarded variances detected,0.05
ancillary schedules awarded variances detected,0.05
kay mann corp,0.045
detected log messages,0.039
awarded variances detected log,0.039
detected log messages parsing,0.039
variances detected log messages,0.039
variances detected log messages parsing,0.039
variances detected log messages parsing file,0.039
variances detected log,0.039
detected log messages parsing file portland,0.039
detected log messages parsing file,0.039
schedules awarded variances detected log,0.039
awarded variances detected log messages parsing,0.039
awarded variances detected log messages,0.039
schedules awarded variances detected log messages,0.039
ancillary schedules awarded variances detected log,0.039
subject west gas roll plan,0.036
subject west gas,0.036
subject west gas roll,0.036
north america corp,0.036
pm keiser kam,0.036
kay mann corp cc,0.036
mann corp cc,0.036
enron north america corp,0.036
corp cc subject,0.036
let know questions,0.035
white stacey subject,0.034
sent wednesday october,0.033
let know need,0.032
01 hourahead hour,0.032
message ward kim,0.031
new york times,0.031
original message ward kim,0.031
original message ward,0.031
message mann kay,0.03
pm kay mann corp,0.03
original message mann kay,0.03
original message mann kay sent,0.03
mann kay sent,0.03
original message mann,0.03
message mann kay sent,0.03
message ward kim houston,0.03
original message ward kim houston,0.03
pm kay mann,0.03
sent friday june,0.029
original message ward kim houston sent,0.029
message ward kim houston sent tuesday,0.029
message ward kim houston sent,0.029
kim houston subject,0.029
kim houston sent tuesday january 29,0.029
kim houston sent tuesday january,0.029
kim houston sent tuesday,0.029
kim houston sent,0.029
houston sent tuesday january 29 2002,0.029
houston sent tuesday january 29,0.029
houston sent tuesday january,0.029
houston sent tuesday,0.029
02 hourahead hour,0.029
ward kim houston subject,0.029
ward kim houston sent tuesday january,0.029
ward kim houston sent tuesday,0.029
ward kim houston sent,0.029
let know thanks,0.028
pm kay mann corp cc,0.028
gerald nemec hou,0.028
free download msn explorer,0.027
free download msn,0.027
download msn explorer,0.027
_________________________________________________________________ free download,0.027
message white stacey,0.027
message white stacey sent,0.027
pm cc subject,0.027
white stacey sent,0.027
tana jones hou ect,0.026
forwarded tana jones hou ect,0.026
kim houston subject west gas roll,0.026
_________________________________________________________________ free download msn explorer,0.026
_________________________________________________________________ free download msn,0.026
sent tuesday november,0.026
ward kim houston subject west,0.026
forwarded tana jones hou,0.026
